u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
26.0,44.0,69.0,53.0,53.5,44.0,50.5,86.0,93.0,87.0,4.0,78.0
27.0,45.0,70.0,54.0,54.0,45.0,50.5,86.5,93.0,87.0,4.0,78.0
29.0,45.0,72.0,55.0,55.0,45.0,52.0,86.5,95.0,87.5,6.5,78.5
31.0,45.0,74.0,54.0,57.0,45.0,54.0,87.0,97.0,88.0,9.0,78.0
34.0,44.5,77.0,54.0,61.0,45.0,57.0,86.0,101.0,87.5,13.0,78.0
38.0,43.5,81.0,53.0,65.0,44.0,61.5,85.5,105.5,86.5,18.0,77.0
42.0,42.0,84.0,51.5,68.5,43.0,65.0,84.0,110.0,85.0,21.0,75.0
46.0,40.0,88.0,49.0,72.5,40.5,69.0,82.0,113.5,82.5,26.0,73.0
49.5,36.5,91.5,46.5,76.0,38.0,72.0,79.0,118.0,80.0,29.5,70.5
51.5,34.5,95.0,44.0,79.0,36.0,75.0,77.0,121.0,78.0,33.0,67.5
54.0,31.5,97.0,40.0,81.5,33.0,77.0,74.0,124.0,74.0,34.5,65.0
55.0,29.0,99.0,38.0,83.0,30.0,78.0,71.5,126.0,72.0,35.0,62.0
56.0,27.0,99.5,35.5,83.0,28.0,78.5,69.5,126.0,69.0,36.0,60.5
55.0,26.0,98.5,34.0,83.0,26.5,78.0,69.0,125.0,68.0,35.5,59.0
53.0,25.0,97.0,34.0,81.0,26.0,76.0,69.0,123.0,68.0,34.0,59.0
