u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
33.0,61.0,56.0,61.0,77.0,61.0,56.0,83.0,55.0,39.5
33.0,61.0,56.0,61.0,77.0,61.0,55.0,83.0,54.0,39.0
33.0,61.0,55.5,61.0,77.0,61.0,55.0,83.0,54.0,39.0
32.5,60.5,55.5,61.0,77.0,61.0,55.0,83.0,54.0,39.0
32.5,60.5,55.0,61.0,77.0,61.0,55.0,83.0,54.0,39.0
32.5,60.5,55.0,61.0,77.0,61.0,55.0,83.0,54.0,39.0
32.5,60.5,55.0,61.0,77.0,61.0,55.0,83.0,54.0,39.5
32.5,60.5,55.0,61.0,77.0,61.0,55.0,83.0,54.0,39.5
33.0,61.0,55.0,61.0,77.0,61.0,55.0,83.0,54.5,39.0
33.0,61.0,55.5,61.0,77.0,61.0,55.0,83.0,54.5,39.0
33.0,61.0,55.5,61.0,77.0,61.0,55.0,83.0,54.5,39.0
33.5,61.0,56.0,61.0,77.0,61.0,55.0,83.0,55.0,39.0
34.0,61.0,56.0,61.0,78.0,61.0,56.0,83.0,55.5,39.0
34.5,60.5,56.0,61.0,78.0,61.0,56.0,82.0,56.0,39.5
34.5,60.5,56.0,61.0,78.0,61.0,56.0,82.0,56.0,39.0
34.5,60.5,57.0,61.0,78.0,61.0,56.5,82.0,56.0,39.0
35.0,60.5,57.5,60.5,79.0,61.0,57.0,82.0,57.0,38.0
36.0,60.0,58.5,60.5,80.0,61.0,58.0,82.0,58.0,38.0
36.5,60.0,58.5,60.5,80.5,60.5,58.5,82.0,58.0,39.0
37.0,60.0,59.0,61.0,80.5,60.5,59.0,82.0,58.0,38.5
38.0,60.0,60.0,60.0,81.5,60.5,60.0,82.0,55.5,75.5
38.5,60.0,60.5,60.5,82.5,60.0,60.0,82.0,60.0,39.0
38.5,60.0,61.0,60.0,83.0,60.0,60.5,81.5,60.0,38.5
40.0,60.0,62.0,60.0,84.0,60.0,62.5,82.0,62.0,39.0
41.0,60.0,63.0,60.0,84.5,60.5,63.0,82.0,62.0,39.0
41.0,60.0,63.0,60.0,84.5,60.5,63.0,82.0,62.0,39.0
41.0,60.0,63.0,60.0,85.0,60.0,63.0,82.0,63.0,39.0
42.0,60.0,64.0,60.0,85.0,60.0,63.0,82.0,63.0,38.0
42.5,60.5,65.0,60.0,86.5,60.0,65.0,81.5,64.0,39.0
42.5,60.0,65.0,60.0,87.0,60.0,65.0,81.0,64.5,38.0
43.5,60.0,66.0,60.0,88.0,60.0,66.0,82.0,65.5,38.5
45.0,60.0,66.5,60.5,89.0,60.0,66.5,81.5,66.0,39.0
45.0,60.0,67.0,60.0,89.0,60.0,66.5,81.5,59.0,76.0
46.0,60.0,68.0,60.0,89.0,60.0,67.5,81.5,66.0,39.0
46.5,60.5,68.5,60.5,90.5,60.0,68.5,81.5,60.0,76.0
46.5,60.0,69.0,60.0,91.0,60.0,69.0,82.0,68.0,39.0
47.5,60.0,70.0,60.0,92.0,60.0,70.0,82.0,69.0,38.5
48.0,60.0,70.0,60.0,92.5,60.5,70.0,82.0,70.0,39.0
48.5,60.5,70.5,60.5,93.0,60.0,70.5,82.5,70.0,40.0
49.0,60.0,71.0,60.0,93.0,60.0,71.0,82.0,70.0,39.0
50.0,60.0,72.0,60.0,94.0,60.0,71.5,81.5,70.0,39.0
50.5,60.5,72.0,60.0,95.0,60.0,72.0,82.0,72.0,39.0
50.5,60.0,72.5,60.5,95.0,60.0,73.0,82.0,72.0,39.5
51.0,59.5,74.0,60.0,96.0,60.0,73.0,82.0,72.5,38.0
52.0,60.0,74.0,60.0,96.0,60.0,73.5,81.5,72.5,38.0
