u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
60.5,64.5,82.5,64.5,105.5,65.5,83.0,87.0,83.0,43.0
61.0,64.0,83.0,64.0,107.0,64.0,83.0,86.0,83.0,42.0
61.0,63.0,84.0,63.0,107.5,62.5,83.0,85.0,83.0,41.0
61.0,62.0,83.0,62.0,108.0,62.0,83.5,84.5,84.0,39.0
61.5,60.5,83.5,60.5,107.5,60.5,84.0,83.0,83.0,39.0
61.0,60.0,83.0,60.0,107.5,58.5,83.5,82.5,84.0,37.0
62.0,59.0,84.0,59.0,107.5,58.5,83.5,80.5,84.0,36.0
60.0,58.0,83.0,58.0,107.0,57.0,82.5,80.0,83.5,35.0
59.0,57.0,82.0,57.0,105.5,56.5,82.0,79.0,82.0,34.0
58.5,56.0,81.0,55.0,105.0,55.0,81.0,78.0,81.0,32.5
57.0,54.0,80.0,54.0,103.0,54.0,80.0,77.0,80.0,31.5
56.0,53.5,78.5,53.5,102.0,53.0,78.5,75.5,79.0,31.0
54.5,53.0,77.0,53.0,100.0,52.5,77.0,75.0,77.0,30.0
53.0,52.0,75.0,52.0,98.0,52.0,75.0,74.0,75.0,30.0
53.0,52.0,74.5,52.5,97.0,52.0,74.0,74.0,74.5,30.0
51.0,52.0,73.0,52.0,96.0,51.5,73.0,74.0,73.5,29.0
49.5,51.5,71.5,51.5,95.0,51.0,72.0,74.0,72.0,29.0
49.5,51.5,71.5,51.5,93.5,51.0,71.0,73.0,71.0,29.5
48.0,51.0,69.5,51.5,92.0,51.0,70.0,73.0,70.0,29.5
47.0,51.0,69.0,51.0,91.0,51.0,68.5,73.0,68.0,29.0
46.0,51.0,68.0,51.0,90.0,51.0,67.5,73.0,68.0,29.5
45.0,51.0,67.0,51.0,88.5,51.0,66.5,73.0,66.0,29.0
44.0,51.0,66.0,51.0,88.0,51.0,66.0,72.5,66.0,29.0
43.0,51.0,65.0,51.0,86.5,51.0,64.5,73.0,64.5,29.0
42.0,51.0,64.0,51.5,86.0,51.0,64.0,72.5,64.0,29.0
